Tweet,Sentiment Score,Sentiment Magnitude
Increíble. , 0.8999999761581421 , 0.8999999761581421
Excelente noticia. , 0.8999999761581421 , 0.8999999761581421
A ver si en Alemania le toleran el bandidaje. , 0.10000000149011612 , 0.10000000149011612
"Vamos, Cali!! ", 0.5 , 0.5
"Personal de la Alcaldia, Policía Nacional y habitantes del sector, retiran pertenencias de la primera línea, que ya tenían dentro del polideportivo de Ciudad 2000. ", 0.30000001192092896 , 0.30000001192092896
¡De acuerdo! , 0.4000000059604645 , 0.4000000059604645
Paloma Valencia propone acabar con el delito político - El Bogotano ,,
"En respuesta al deseo ciudadano de contar con herramientas legales que respalden la legítima defensa; junto al representante @ChriGarces, radicamos nuevamente el PL que busca eliminar la figura del porte especial de armas adoptada desde el gobierno Santos. ", 0.0 , 0.0
La @CGR_Colombia y la @PGN_COL deben hacer un equipo especial preventivo que fiscalice cada centavo que la Alcaldía de Cali desvíe de su propósito original. , 0.699999988079071 , 0.699999988079071
Nada es transparente en esa administración. , -0.10000000149011612 , 0.10000000149011612
Especialmente cuando pareciera ser un Clan de Familia. , 0.5 , 0.5
"Ojalá no los deje libres algún juez de ""garantías"". ", 0.0 , 0.0
"Alemana Rebecca Sprößer, agitadora de masas violentas en Colombia, fue arrestada y expulsada del país, por Migración  @CarrillonavasG @ibmtw2010 @Iadossa @Gilbert_Olarte @lacoutu @luisffierro @ReservaBR4 @pasionpais @AliRestrepo @duvanedo @ricardoansal ",,
Al fin!,,
"Funcionarios de la administración de Cali, ¿le impiden a la Fuerza Pública hacer su trabajo? ", -0.10000000149011612 , 0.10000000149011612
"¿pretenden usar su cargo para evitar procedimientos amparados en el Código Nacional de Policía?, ¿esa es la estrategia, dejar a Cali a merced del vandalismo? ", 0.0 , 0.0
#SoyCabal | Ante el Congreso de la República presentamos el Proyecto de Ley que tiene como fin garantizar la cobertura y la calidad del servicio educativo en todo el país. , 0.4000000059604645 , 0.4000000059604645
"Para ellos, es una ""estupidez"" denunciar los riesgos en el manejo de recursos que puedan derivar en corrupción. ", -0.5 , 0.5
Negaron el ingreso a Colombia a la diputada chavista Haydee Huérfano→  | vía @JusticiaET ,,
"#LoÚltimo | Elegido Presidente de la Comisión Primera, Germán Varón Cotrino; Vicepresidente, Esperanza Andrade. ", 0.10000000149011612 , 0.10000000149011612
Y siguen mandando... , 0.0 , 0.0
"""el régimen"", como decía Álvaro Gómez. ", 0.0 , 0.0
Uribe señala al gobierno Santos por desmontar la inteligencia del Estado - El Bogotano ,,
¿Por qué no me invitaron? , -0.20000000298023224 , 0.20000000298023224
Seguro ninguno sabe bailar ,,
"La @PoliciaColombia capturó a 4 presuntos integrantes de los 'Destroyer', responsables de actos de vandalismo, como la incineración de 5 vehículos y el ataque al monumento Andrés López Galarza en la ciudad de Ibagué. ", 0.10000000149011612 , 0.10000000149011612
"El hijo de ⁦@RoyBarreras⁩ justificando la desviación de cifras millonarias del presupuesto para quienes asesinaron policías, destruyeron estaciones del MÍO y dejaron sin empleo a más de 66mil vallecaucanos. ", 0.10000000149011612 , 0.10000000149011612
¿Este dinero será para garantizar la campaña de su padre? , 0.10000000149011612 , 0.10000000149011612
"Hace 26 años, en la noche del 28 de julio de 1995 o el amanecer del 29 la indagatoria de Santiago Medina, tesorero de Samper Presidente, fue robada de la Fiscalía. ", 0.20000000298023224 , 0.20000000298023224
"¿Quién la llevó al día siguiente a Hatogrande para ser revisada por el E. Samper, H. Serpa, F. ", 0.0 , 0.0
Botero y R. Bejarano? , 0.10000000149011612 , 0.10000000149011612
"Hoy se conmemoran 202 años de la Caballería Colombiana, Arma del glorioso Ejército Nacional. ", 0.20000000298023224 , 0.20000000298023224
Recordamos la gesta del coronel Juan José Rondón y sus 14 lanceros en la Batalla del Pantano de Vargas. , 0.20000000298023224 , 0.20000000298023224
¡Salve usted la patria! , 0.800000011920929 , 0.800000011920929
Te amo Colombia ,,
"#SoyCabal | En esta nueva legislatura, desde el #CongresoDeColombia, insistiremos en las siguientes iniciativas: ",,
"Fue capturado alias 'Pablo' o 'Pablito', tercer cabecilla de las disidencias de las Farc, Compañía Adán Izquierdo. ", 0.5 , 0.5
"El delincuente sería el autor material de actos vandálicos y de alteración del orden público el pasado 28 de abril de 2021 en los municipios de Palmira, Buga y Tuluá ",,
Rechazamos todo acto violento contra la integridad de nuestros líderes en los territorios. , 0.0 , 0.0
